"","Message","Type","Likes","Comments","Reactions","Date","Time"
"249","On #InternationalWomensDay  we re celebrating women in Parliament. Meet the women who have become MPs since the 2015 General Election.","video",33,5,35,2017-03-08,"10:39"
"250","In today s #PMQs the Prime Minister answered questions from MPs about International Women s Day  school funding  apprenticeships and the Iraq and Afghanistan Memorial.","video",45,3,47,2017-03-08,"15:09"
"251","On #InternationalWomensDay  MPs from the Women and Equalities Committee share their thoughts on women becoming MPs.   Find out more about the Committee here: http://www.parliament.uk/womenandequalities  #BeBoldForChange #IWD2017 #WomenInParliament","video",24,3,24,2017-03-08,"16:30"
"252","Today the Chancellor Philip Hammond delivered the Spring Budget Statement which outlined the state of the economy and the Government’s proposals for changes to taxation.  The statement will be followed by MPs scrutinising the Budget Resolutions in four days of debate in the House of Commons Chamber.","video",15,6,15,2017-03-08,"17:30"
"253","Spring Budget 2017: What was announced?","status",29,5,29,2017-03-09,"10:18"
"254","Fake news is causing rising concern around the world. How can we tell if the news we read is trustworthy?  Share your views with the Culture Media and Sport Committee here: https://goo.gl/tzv7Bm","video",27,15,29,2017-03-10,"08:00"
"255","Lords amendments to the EU (Notification of Withdrawal) Bill","status",21,5,23,2017-03-13,"11:54"
"256","What are the implications of a  no deal  in triggering Article 50? The Foreign Affairs Committee has published a report  stating that it would be a  dereliction of duty  to fail to plan for a  no deal . Read the report here: https://goo.gl/6I6gVB","link",23,2,23,2017-03-13,"17:47"
"257","The Government must publish a plan on how it intends to achieve gender equality by 2030  a new report from the Women and Equalities Committee says.","link",12,2,12,2017-03-14,"09:12"
"258","UK House of Commons shared UK Parliament s video.","video",15,5,15,2017-03-14,"13:41"
"259","In today s PMQs Prime Minister Theresa May was questioned about about National Insurance Contributions  funding for schools  the triggering of Article 50 and more.","video",49,4,52,2017-03-15,"15:24"
"260","Personal Independent Payments (PIP) are a non-means-tested payment intended to help with the extra costs arising from ill health or disability. On 23 February 2017  the Department for Work and Pensions announced changes to the PIP eligibility criteria to come into force from 16 March.   Watch Shadow Secretary of State for Work and Pensions  Debbie Abrahams  and other MPs question the Secretary of State for Work and Pensions  Damian Green  on the new PIP regulations.","video",11,3,11,2017-03-15,"16:50"
"261","After the Court of Justice of the European Union ruled that employers were allowed to prohibit workers from wearing visible religious signs in the workplace  MPs question Minister for Women  Equalities and Early Years  Caroline Dinenage  on the Government s policy on workplace dress codes.","video",21,2,22,2017-03-15,"18:08"
"262","Suicide is preventable  - the strong message that the Health Committee have heard throughout their inquiry.","link",10,0,11,2017-03-16,"09:00"
"263","Brexit Secretary  David Davis has confirmed that exiting the EU without a deal would affect tariffs  passporting rights & border with Ireland  in an evidence session with the Committee on Exiting the EU.  Watch the full session here: https://goo.gl/fEBqVb","video",60,67,78,2017-03-16,"10:05"
"264","UK House of Commons shared UK Parliament s video.","video",48,1,56,2017-03-16,"13:10"
"265","What responsibility do social media companies have in combating online hate crime? On Tuesday  the Home Affairs Committee questioned Google  Facebook and Twitter on their response to online abuse and hate crime. Watch the full session online: https://goo.gl/2l5M0a","video",17,6,18,2017-03-17,"17:19"
"266","On the lookout for a new podcast for your commute  jog  or gym class?  Writer and comedian Meera Syal guides you through how Parliament works and how you can get involved  with help from special guests Helen Jones MP  The Rt. Hon the Baroness Corston  Parliament staff  and others.  Starts this Monday 20 March - subscribe now and never miss an episode!","link",240,51,253,2017-03-17,"21:00"
"267","After Brexit  what will happen to the funding the EU sends to Welsh farmers under the Common Agricultural Policy?  The Welsh Affairs Committee has launched a new inquiry into Welsh Agriculture. Find out more: goo.gl/Lta7si","video",19,5,19,2017-03-20,"08:56"
"268","MPs question Cabinet Office Ministers on ACOBA and George Osborne s editorship of the London Evening Standard.  Watch the full video: https://goo.gl/9j2nn5","video",20,3,22,2017-03-20,"16:28"
"269","“The cost of car insurance for young people has  in recent years  risen to a very high level”. Steve Double MP leads the debate on the petition calling for a cap on car insurance for young drivers and the potential impact it can have on their lives.  Watch the debate: goo.gl/kNJAoE","video",76,7,86,2017-03-20,"17:12"
"270","Last week  the International Development Committee heard from Lord Dubs on the Syrian refugee crisis. Watch Lord Dubs outline some of the issues surrounding the Government s closure of the  Dubs scheme  below. Find out more about the session here: https://goo.gl/jW1ejQ","video",15,0,15,2017-03-20,"18:35"
"271","Are we properly looking after English forests? The Environment  Food and Rural Affairs Committee has published a report on forestry in England. Read it here: goo.gl/ew8Cm9","video",32,6,36,2017-03-21,"08:30"
"272","Do you have a question about the work of the Scottish Affairs Select Committee? Chair Pete Wishart MP will be answering your questions online on Facebook Live from 5pm   Post your questions below  and come back on Wednesday to chat with Pete.   This parliament the Committee has published reports on topics such as the renewable energy sector in Scotland and the demography of Scotland and the implications for devolution and is currently holding inquiries into the Implications of Brexit  sustainable employment in Scotland and Scotland and the High-North  including climate change.   The Committee wants to hear from you on its work and future inquiries.   This live Q&A will offer a chance for Pete to interact with anyone who already follows the Committee or simply wants to learn more about how it challenges the Government.    #AskScottishAffairs   Any comments or questions submitted will be moderated according to Parliament s online discussion rules - http://www.parliament.uk/get-involved/have-your-say/online-discussion-rules/","event",9,0,9,2017-03-21,"12:30"
"273","Watch Economic Secretary to the Treasury  Simon Kirby  be questioned about money laundering allegations against British banks by John McDonnell and other MPs https://goo.gl/jAj9JZ","video",14,1,14,2017-03-21,"15:45"
"274","How should the Government approach energy and climate change in Brexit negotiations?   Watch MPs on the Business  Energy and Industrial Strategy Committee ask industry representatives and experts in their session earlier today: https://goo.gl/hJhGqN","video",13,0,15,2017-03-21,"18:00"
"275","How will leaving the EU affect the UK s legal system? The Justice Committee has published its latest report  recommending the principal aims the Government should focus on in its Brexit negotiations.   Read about the report: https://goo.gl/L7Zkpg","video",30,7,30,2017-03-22,"08:00"
"276","The Prime Minister  Theresa May  will make a statement at 10.30am today on the London attacks.","link",39,4,48,2017-03-23,"09:24"
"277","Yesterday  an act of terrorism tried to silence our democracy but today we meet as normal  as generations have done before us and as future generations will continue to do  to deliver a simple message: we are not afraid.  - Prime Minister  Theresa May","video",354,34,410,2017-03-23,"11:18"
"278","UK House of Commons shared UK Parliament s post.","link",18,0,18,2017-03-23,"16:23"
"279","Does the House of Lords need to change? With over 800 members  it s the largest second chamber in the world. The Public Administration and Constitutional Affairs Committee is asking how the House of Lords  size and make-up can be managed. Find out more: https://goo.gl/3ggjMR","video",147,49,163,2017-03-24,"12:30"
"280","Tickets for an Ed Sheeran charity gig were being sold at £5 000 on viagogo  thousands of pounds more than their face value  the Culture Media and Sport Committee has heard.   Watch the full session on ticket touting here: https://goo.gl/NyeZBD","video",19,6,25,2017-03-24,"15:32"
"281","Childhood obesity should be combated by tackling the promotion of unhealthy food and drink  the Health Committee report says.","link",12,3,13,2017-03-27,"07:06"
"282","What should Scotland s relationship with Europe look like? What is the future of student visas in Scotland? How should Scotland plan for a changing population? Ask the Chair of the Scottish Affairs Committee any questions that you have about the Committee or its work: https://goo.gl/vwplrv  On Wednesday  Pete Wishart MP will be holding a live Facebook Q&A. Join the event and post your questions now  and watch the live Q&A on Wednesday at 5pm.","video",10,4,11,2017-03-27,"09:59"
"283","Secretary of State James Brokenshire delivers a statement on recent political developments  following yesterday s deadline to form a new Northern Ireland Executive. Watch the full statement https://goo.gl/cSpO02","video",11,1,13,2017-03-28,"14:41"
"284","The Department for International Development should spend UK aid money better  not less  says the International Development Committee in its latest report. Read it here: https://goo.gl/gO62Pk","video",14,0,16,2017-03-28,"16:33"
"285","Jobcentre Plus services need to be more accessible to young people  according to the Work and Pensions Committee.   Read about the Employment Opportunities for Young People report: https://goo.gl/RDNEUP","video",10,3,10,2017-03-29,"07:00"
"286","Brexit: How does the Article 50 process work?","status",15,3,17,2017-03-29,"08:30"
"287","As would be normal after such events  we are seeking to make sure that any lessons are learned  through two reviews.   The Speaker has made a statement on parliamentary security following the incident in Westminster on Wednesday 22 March.","video",61,4,62,2017-03-29,"12:32"
"288","MPs asked questions to the Prime Minister  Theresa May  on Northern Ireland s future place in the UK  support and resources for the police  the devolved administrations and Article 50  and more.","video",30,5,31,2017-03-29,"13:52"
"289","A few minutes ago in Brussels  the United Kingdom’s Permanent Representative to the EU handed a letter to the President of the European Council on my behalf  confirming the government’s decision to invoke Article 50 of the Treaty on European Union.   - Prime Minister Theresa May in a statement to the House of Commons on the triggering of Article 50.","video",107,4,131,2017-03-29,"15:26"
"290","We are now live with Pete Wishart MP  Chair of the Scottish Affairs Committee  who will be answering your questions live. Comment below and Pete will answer your questions.","video",56,49,70,2017-03-29,"16:00"
"291","Secretary of State for Exiting the EU  David Davis  made a statement today in the House of Commons on legislating for the UK s withdrawal from the EU.  The Government has laid a White Paper in which it claims that the Great Repeal Bill will:  • repeal the European Communities Act 1972 • convert EU law as it stands at the moment of exit into UK law before we leave the EU • create powers to make secondary legislation  enabling changes to be made to laws without parliamentary debate being necessary","link",27,12,30,2017-03-30,"14:54"
"292","The report finds that inadequate funding very seriously affects the quantity and quality of adult social care provision.","link",16,1,16,2017-03-31,"10:58"
"293","The Government needs to be transparent when it uses science to make policies  according to the Science and Technology Committee.   Read about the Committee s science communication report  and watch last night s launch at the Science Museum: https://goo.gl/Pac9GS","video",10,1,11,2017-03-31,"16:30"
"294","Can you help the Women and Equalities Committee question Justine Greening on flexible working?  Share your experiences here: https://goo.gl/hma5bg","video",17,3,17,2017-04-03,"07:00"
"295","The Government can t back up claims that no Brexit deal is better than a bad deal until it has done a proper economic assessment  according to the Exiting the EU Committee: https://goo.gl/9BGd7w","link",9,2,10,2017-04-04,"07:00"
"296","You told the Work and Pensions Committee that Jobcentre Plus services are off-putting to young people. Now the Committee is calling on the Government to fix it. Read its report on Employment Opportunities for Young People: https://goo.gl/kpD5RN","video",8,3,9,2017-04-04,"16:30"
"297","The Government needs to do more to prevent UK businesses violating the human rights of their workers  according to the Joint Committee on Human Rights  which has published a report on human rights and business. Read it here: https://goo.gl/uq2Giz","link",3,1,3,2017-04-05,"07:00"
"298","Companies should publish the pay ratio between executives and all UK workers  according to the Business  Energy and Industrial Strategy Committee: https://goo.gl/JFMg21","link",2,0,2,2017-04-05,"08:00"
"299","Welfare reform: what’s changing from April 6?","status",3,2,3,2017-04-05,"10:54"
"300","New targets should be set by Government to get more women into senior positions in companies  according to the Business  Energy and Industrial Strategy Committee: https://goo.gl/JFMg21","video",16,8,17,2017-04-05,"16:00"
"301","In 2010  one in four of the working age population was aged 50 or over. Is Government doing enough to support older people in the workplace?","link",8,1,8,2017-04-06,"09:18"
"302","The Government must learn from the catastrophic failure of its tax credits contract  according to the Public Accounts Committee s report on Concentrix: https://goo.gl/pplCHL","link",11,0,13,2017-04-06,"10:00"
"303","The process of exiting the EU should reaffirm the sovereignty of Parliament  not bypass it  according to the European Scrutiny Committee: https://goo.gl/kTYJLr","link",5,1,5,2017-04-07,"06:00"
"304","The Government needs to clarify how changes to the way prisons are run will impact on prisoners and the justice system  according to the Justice Committee: https://goo.gl/X45SJf","video",16,3,16,2017-04-07,"07:00"
"305","Can you help the Women and Equalities Committee question Minister for Women and Equalities Justine Greening on returning to work?   Share your experiences: https://goo.gl/FYlrTo","video",9,1,9,2017-04-07,"16:00"
"306","UK House of Commons shared UK Parliament s post.","photo",93,5,134,2017-04-10,"13:29"
"307","How does Parliament scrutinise the work of the Government? Find out more in  Parliament Explained   presented by writer and comedian Meera Syal","link",165,42,178,2017-04-10,"15:00"
"308","The Government needs to be transparent when it uses science to make policies  according to the Science and Technology Committee.   Read about the Committee s science communication report  and watch last month s launch at the Science Museum: https://goo.gl/Pac9GS","video",9,0,10,2017-04-10,"16:30"
"309","Millenials","status",9,5,9,2017-04-11,"10:33"
"310","What can be done to tackle fake news in the UK? What impact does it have on people s understanding of the world?  Find out more about the inquiry here: https://goo.gl/DNebOR","video",29,10,40,2017-04-11,"12:28"
"311","The Government s industrial strategy should help create more investment in science research and development  according to the Science and Technology Committee. Read their report: https://goo.gl/yb0Mfg","link",11,3,11,2017-04-12,"07:00"
"312","During the EU referendum there was a lack of preparation for both outcomes  according to the Public Administration and Constitutional Affairs Committee. Read its report on Lessons Learned from the EU Referendum: https://goo.gl/3aWRab","link",11,3,11,2017-04-12,"08:00"
"313","How does the UK Parliament​ propose  debate and improve Bills before they can become the law of the land? Find out more in Episode 5 of the  Parliament Explained  podcast  presented by writer and comedian Meera Syal​.","link",148,13,156,2017-04-17,"15:00"
"314","I think the leave regime at the moment is terrible.  Catch up on the latest evidence session in the Women and Equalities Committee s inquiry into fatherhood in the workplace.  Watch the full session here: https://goo.gl/CksxqQ","video",15,2,15,2017-04-18,"15:57"
"315","“On Wednesday 19 April  the House will be asked to approve a motion that allows for my Right Honourable Friend the Prime Minister to seek an early parliamentary general election under the Fixed-term Parliaments Act 2011.” - David Lidington  Leader of the House of Commons  Watch the statement in full goo.gl/hiu5My","video",52,3,58,2017-04-18,"17:00"
"316","General Election 2017: a short guide","status",34,4,34,2017-04-19,"08:26"
"317","MPs voted 522 to 13 in favour of the motion for an early general election. Two-thirds of the whole House (434 MPs) were required to vote in favour for the motion to be approved.","video",102,4,111,2017-04-19,"14:05"
"318","Why hasn t the Government taken action over energy companies raising prices?   The Business  Energy and Industrial Strategy Committee challenged Secretary of State Greg Clark MP this morning. Watch the session: https://goo.gl/kxG1B6","video",12,3,12,2017-04-19,"16:00"
"319","Was it appropriate for Mo Farah to be coached by Alberto Salazar? The Culture  Media and Sport Committee questions Dr John Rogers. Watch the full session here: https://goo.gl/mwhh2c","video",8,1,8,2017-04-20,"08:28"
"320","“This is truly a shocking anti-gay campaign involving over a hundred – and possibly several hundred – men  and I want to praise the NGOs  the journalists in Russia and the UK and elsewhere who have brought this to public attention.” – Stephen Doughty MP  Watch Foreign Office Minister Sir Alan Duncan respond to questions from Stephen Doughty and other MPs on allegations of persecution and detention of LGBT+ citizens in Chechnya goo.gl/e1sm3b.","video",29,4,35,2017-04-20,"10:34"
"321","The Government needs to clarify how prison governors will be supported under its prison reform plans  according to the Justice Committee. Watch Chair Bob Neill MP introduce the Committee s latest report in the House of Commons  and find out more about it: https://goo.gl/KcSHjj","video",19,1,19,2017-04-20,"15:00"
"322","What is the revolving door? Watch Ian Hislop explain.  The Government needs to address the revolving door between the public and private sector  according to the Public Administration and Constitutional Affairs Committee s new report: https://goo.gl/LaL3vh","video",25,0,25,2017-04-24,"07:00"
"323","With the general election set for 8 June  listen to this week s episode of the  Parliament Explained  podcast to learn more about how elections work  and other ways you can get involved with the work of the UK Parliament.","link",157,12,167,2017-04-24,"15:00"
"324","Watch MPs question DEFRA Secretary Andrea Leadsom about the Government s application to delay publishing its air quality strategy report until after the general election. Watch https://goo.gl/WujyRZ","video",15,2,17,2017-04-24,"15:36"
"325","How will Brexit affect higher education in the UK? What will happen to students and staff from the EU?   Read the full report here: https://goo.gl/TdcIGe","video",36,16,40,2017-04-25,"07:00"
"326","The Government needs to do more to protect vulnerable marine habitats  features and species  according to the Environmental Audit Committee. Read its latest report: https://goo.gl/hcRNwr","video",12,1,13,2017-04-25,"09:30"
"327","Poor accessibility affects us all. Even if not disabled ourselves  most people are related to  work with or are friends with someone who is.  - Maria Miller MP.    Read it here: goo.gl/lMs7qK","link",26,2,26,2017-04-25,"11:08"
"328","What happens to Select Committees  Public Bills and the Government ahead of the general election?","video",99,6,104,2017-04-25,"13:48"
"329","..the use of Spice and its impact on our communities are now reaching epidemic levels.  Lucy Powell  MP for Manchester Central  Watch MPs question the Ministry of Justice on legislation relating to novel psychoactive substances https://goo.gl/wKwcwf","video",11,0,11,2017-04-25,"15:06"
"330","The International Development Committee questioned experts on African displacement earlier today. Watch as Moulid Hajale  a humanitarian journalist  talks about his experience of life inside the world s largest refugee camp. Watch the full session here: https://goo.gl/CLouvR","video",8,0,8,2017-04-25,"16:45"
"331","The Government has a once in a generation opportunity to use the Global Goals to forge a cross-party consensus on sustainable development.    Read the Environmental Audit Committee s report on the UN s Global Goals for Sustainable Development in the UK: https://goo.gl/xl7PmQ","video",15,1,15,2017-04-26,"07:00"
"332","Are the Government s plans to close up to 8 Jobcentre Plus offices in Glasgow well thought out? Read the report of the Scottish Affairs Committee  published today: https://goo.gl/U4mW39","photo",4,1,7,2017-04-26,"11:00"
"333","Watch MPs question Prime Minister  Theresa May  about school funding  state pensions and more  in the final PMQs before the 2017 General Election.","video",25,11,27,2017-04-26,"15:18"
"334","The Public Accounts Committee is calling on the Government to take action on access to GPs  ambulance services  and integrating health and social care.  Read the reports: parliament.uk/pac","photo",18,1,18,2017-04-27,"07:00"
"335","Political disengagement in the UK: who is disengaged?","status",23,18,25,2017-04-27,"07:36"
"336","The International Development Committee has urged the Department of International Development to spend more on global education. Read the letter to the Secretary of State and find out more about the Committee s work on global education here: https://goo.gl/6RRVWN","video",5,1,5,2017-04-27,"11:15"
"337","UK House of Commons shared UK Parliament s video.","video",65,1,75,2017-04-27,"13:28"
"338","The House of Commons has prorogued and will next meet after the General Election.","link",28,0,31,2017-04-27,"16:55"
"339","Vauxhall was too slow to act on fires in Zafira cars  the Transport Committee says  in its report on Vauxhall Zafira fires. Read the full report on the Committee website: https://goo.gl/OCiOx3","video",7,1,7,2017-04-28,"07:00"
"340","The housing market is broken  according to the Public Accounts Committee. Read its report: https://goo.gl/m6JdPA","link",14,1,19,2017-04-28,"11:00"
"341","There s no prospect of a citizen s income  or universal basic income  being introduced in the UK according to the Work and Pensions Committee: https://goo.gl/uQR9bN","video",12,0,15,2017-04-28,"16:00"
"342","10 million tonnes of food was thrown away last year. What can be done to reduce this waste? The Environment  Food and Rural Affairs Committee has published its report on food waste. Read it here: https://goo.gl/NFsFBP","video",29,5,41,2017-04-30,"11:30"
"343","The problem of hate crime and extremism on the internet is getting worse, and the response of social media companies needs to be better, says the Home Affairs Committee. Read its report on hate crime and extremism online: https://goo.gl/oH3qvs","video",54,12,71,2017-05-01,"07:00"
"344","5 million people in the UK are now self-employed. How can the Government make sure they're protected, and stop companies from using them as cheap labour? Read the Work and Pensions Committee's report: https://goo.gl/xGtUiZ","video",22,3,22,2017-05-01,"11:00"
"345","THREE weeks left to register to vote for the general election on 8 June. Find out how to register: https://goo.gl/pl7I0K","video",61,4,68,2017-05-01,"19:04"
"346","The Joint Committee on Human Rights has published a report on mental health and deaths in prison, calling for changes to legislation. Read it here: https://goo.gl/xYGj31","photo",13,2,15,2017-05-02,"07:00"
"347","Brexit negotiations must not overshadow the UK's energy and climate change commitments, according to the Business, Energy and Industrial Strategy Committee. Read its recommendations: https://goo.gl/H9C91X","video",22,0,24,2017-05-02,"09:00"
"348","700,000 people live in supported housing in the UK. How will they be affected by the Government's new plans for their homes?

Read the full report here: goo.gl/JCx5H6","photo",11,1,12,2017-05-02,"11:00"
"349","The Women and Equalities Committee was established in June 2015. What have they achieved since then?","video",10,3,12,2017-05-02,"16:00"
"350","The general election means that the petitions website and all petitions had to close on 3 May. 

When there is a general election, Parliament closes for a few weeks before the vote. The petitions website is part of the official work of Parliament, so it had to stop too. All petitions that were open on the site are now closed and can no longer be signed. They won’t be reopened after the election. They’re available for people to read on the site.

The site will open again as soon as the House of Commons sets up a new Petitions Committee. We will keep you updated about when this will happen. For more information, visit https://goo.gl/ZJV2LO.","link",29,0,30,2017-05-03,"14:46"
"351","Parliament has dissolved ahead of the general election on 8 June 2017. What does this mean?","video",82,3,86,2017-05-03,"17:00"
"352","Now that Parliament has dissolved, the Mace has been removed from the Palace of Westminster and will remain in the Lord Chamberlain’s Office in St James’s Palace until after the general election on 8 June.","photo",37,1,40,2017-05-04,"16:01"
"353","TWO weeks left to register to vote in the general election. Register by 22 May to have your say https://goo.gl/MnL92C","video",91,15,93,2017-05-08,"15:47"
"354","We can't stop talking about the upcoming general election! But what is a general election and how does it work?","video",75,6,83,2017-05-10,"15:50"
"355","Away on 8 June and can't vote in person in the General Election? If you're registered, apply for a postal vote by 23 May https://goo.gl/vcjCus","photo",26,1,30,2017-05-12,"14:02"
"356","Only ONE week left to register to vote in #GE2017. You must be registered by 22 May to vote. https://goo.gl/MnL92C","video",62,3,66,2017-05-15,"12:58"
"357","If your 18th birthday is on or before 8 June 2017 you can vote in the General Election 🎂 #GE2017
It only takes a few minutes to register online https://goo.gl/60a8kQ","video",46,2,47,2017-05-16,"10:39"
"358","If you have questions about accessing your polling station, contact your local Electoral Registration Office https://goo.gl/RBHYK9 #GE2017","link",11,1,11,2017-05-17,"09:53"
"359","Have you moved house recently? Make sure you've registered to vote at your new address https://goo.gl/MnL92C #GE2017","video",10,0,11,2017-05-17,"14:33"
"360","Away on 8 June or can't vote in person? If you're registered, apply for a postal vote by 23 May https://goo.gl/ogfqWO #GE2017","link",23,1,23,2017-05-18,"11:02"
"361","THREE weeks to go until polling day on 8 June 2017. For other key dates in #GE2017 see https://goo.gl/eKCw5f","link",25,0,27,2017-05-18,"15:55"
"362","Voter registration ends on Monday for #GE2017. Don’t leave it to the last minute. Register now at https://goo.gl/MnL92C","photo",29,1,29,2017-05-19,"12:54"
"363","On holiday on 8 June? You can still vote in the General Election. If you've already registered, apply for a postal vote by Tuesday 23 May https://goo.gl/ogfqWO #GE2017","video",23,4,25,2017-05-19,"15:00"
"364","You only have TWO more days left to register to vote in #GE2017. Make sure your voice is heard https://goo.gl/MnL92C","link",16,1,16,2017-05-20,"10:00"
"365","Students can register to vote at their home & term-time address. Make sure you register by 11.59pm on 22 May https://goo.gl/MnL92C #GE2017","link",8,0,8,2017-05-20,"15:00"
"366","You only have ONE day left to register to vote in #GE2017. Register now so you don’t miss out. Make your voice heard https://goo.gl/MnL92C","link",11,0,12,2017-05-21,"10:00"
"367","If you're away on 8 June, you can still vote in #GE2017. Apply for a postal or proxy vote and make your voice heard https://goo.gl/vcjCus","link",16,0,16,2017-05-21,"15:00"
"368","Today is your last chance to register to vote in #GE2017. Make sure you're registered before MIDNIGHT tonight, it only takes a few minutes to register online at https://goo.gl/60a8kQ","video",21,2,22,2017-05-22,"08:30"
"369",NA,"photo",101,3,138,2017-05-23,"09:07"
"370","Two weeks to go until polling day! 
Can't make it to the polling station on 8 June? Apply for a proxy vote and get someone to vote on your behalf.
Find out how to get a proxy vote here: https://goo.gl/bQCEqX 
#GE2017","video",14,3,17,2017-05-25,"14:04"
"371","Don't forget to return your proxy vote application to your local Electoral Registration Office by 5pm on 31 May #GE2017 https://goo.gl/DzU8BI","photo",12,1,13,2017-05-26,"08:52"
"372","If you're in England, Scotland or Wales, your application for a proxy vote must be returned by 5pm, Wednesday 31 May https://goo.gl/DzU8BI","photo",13,0,13,2017-05-30,"10:51"
"373","There are 650 Parliamentary constituencies across the UK. Find out more about yours https://goo.gl/uVCbmU  #GE2017","link",21,0,24,2017-05-31,"12:15"
"374","With only a week to go until polling day, find out what happens at the start of a new Parliament https://goo.gl/L7Mvq6  #GE2107","link",18,0,19,2017-06-01,"14:26"
"375","To find your polling station, check the map on your poll card or contact your local Electoral Registration Office. Remember, you don't need your poll card to vote https://goo.gl/MHyFrs  #GE2017","video",10,0,11,2017-06-02,"11:35"
"376","If you have questions about accessing your polling station, contact your local Electoral Registration Office https://goo.gl/BSSz2U  #GE2017","photo",11,1,11,2017-06-05,"10:28"
"377","You don't need ID to vote unless you're voting in Northern Ireland. Find out what ID will be accepted https://goo.gl/4loL19  #GE2017","photo",9,4,10,2017-06-05,"13:57"
"378","Voting for the first time on Thursday? Here's what to expect https://goo.gl/77b7gg #GE2017","photo",26,2,27,2017-06-06,"09:22"
"379","Lost your poll card? Don't worry, you don't need it to vote https://goo.gl/MHyFrs  #GE2017","photo",11,0,12,2017-06-06,"14:32"
"380","Your vote matters! Polling stations are open from 7am to 10pm tomorrow. Don't miss out! #GE2017
https://goo.gl/77b7gg","video",60,3,60,2017-06-07,"09:09"
"381","Polling stations across the UK are open until 10pm for you to cast your vote in #GE2017","photo",41,1,42,2017-06-08,"08:31"
"382","If you can't make it to the polling station you may be able to get an emergency proxy vote. #GE2017

You can apply for an emergency proxy for one of two reasons:

1. Because you have been called away unexpectedly for work.
2. A personal medical emergency. 

Apply until 5pm on polling day https://goo.gl/HOHd48","photo",27,3,28,2017-06-08,"10:45"
"383","What is a hung Parliament? Find out more https://goo.gl/dFIuVK #GE2017","photo",55,5,59,2017-06-09,"09:39"
"384","What is a minority government? Find out more https://goo.gl/OZzWYA","photo",39,3,41,2017-06-09,"13:37"
"385","John Bercow MP has been re-elected as Speaker of the House of Commons & dragged 'reluctantly' to the chair. Find out about more Commons traditions https://goo.gl/Wikf05","video",451,41,562,2017-06-13,"14:17"
"386","One year on from the tragic death of Jo Cox, the Speaker has issued a message of remembrance https://goo.gl/moi89B","video",225,9,268,2017-06-16,"08:07"
"387",NA,"photo",113,4,127,2017-06-16,"08:26"
"388","English votes for English laws after GE2017","status",32,3,35,2017-06-19,"14:00"
"389",NA,"photo",75,3,86,2017-06-19,"15:19"
"390","The State Opening of Parliament takes place today, Wednesday 21 June. It marks the formal start of the parliamentary year and the Queen's Speech sets out the government’s agenda for the parliamentary session, outlining proposed policies and legislation. https://goo.gl/pdvU1E","photo",34,3,38,2017-06-21,"08:52"
"391",NA,"video",172,9,194,2017-06-21,"13:24"
"392","Watch the statement on Grenfell Tower made by the Prime Minister in the House of Commons today https://goo.gl/KteVwz","video",147,13,157,2017-06-22,"09:16"
"393","Following the Queen's Speech, Parliament will start work on setting up committees formed of MPs who examine different topics. But how are committees different from the House of Commons Chamber?","video",65,6,67,2017-06-23,"07:00"
"394","How can committees of MPs influence the decisions Government takes?","video",21,1,23,2017-06-26,"16:00"
"395","Committees of MPs gather different types of information from a range of sources. How can you get involved?","video",19,2,21,2017-06-27,"11:00"
"396","Watch Jonathan Ashworth question Secretary of State for Health Jeremy Hunt about NHS Shared Business Services and patient correspondence.
http://goo.gl/EoAEYj","video",27,7,28,2017-06-27,"13:46"
"397","Did you know that you can contribute to the work MPs do to keep an eye on the Government?","video",26,7,29,2017-06-30,"07:00"
"398","MPs will debate the Second Reading of the Air Travel Organisers' Licensing (ATOL) Bill today.
The Bill aims to update ATOL, the consumer protection scheme for package holidays that include a flight.
Find out more https://goo.gl/tafYWh","video",14,1,14,2017-07-03,"14:52"
"399","Do you want factual information about the issues you care about? The House of Commons Library provides impartial research for MPs and their staff, which is available for you to use as well.","video",101,6,108,2017-07-04,"11:00"
"400","MPs will debate the Second Reading of the European Union (Approvals) Bill today.
Find out more about the Bill https://goo.gl/qVLnva","video",15,3,15,2017-07-04,"12:37"
"401","Watch MPs question Minister of State for School Standards, Nick Gibb, about public funding for schools goo.gl/YyLEvi","video",41,2,42,2017-07-04,"14:34"
"402","Catch up with this week's Prime Minister's Questions https://goo.gl/gqrCZV","video",79,21,82,2017-07-05,"15:51"
"403","""[...]  I really must ask him whether he shares my deep concern about the state of adult social care, as highlighted by today’s report by the Care Quality Commission. Some 3,200 care services were rated as “requires improvement”, with more than 340 rated as “inadequate”. That means that some 92,000 vulnerable people are receiving poor care and some 10,000 people are receiving inadequate care. The picture is even worse in nursing homes, with one in three receiving the poorest ratings."" - Barbara Keeley, Shadow Health Minister
Watch the Urgent Question on funding for adult social care goo.gl/pypcb9","video",22,4,22,2017-07-06,"13:16"
"404","""Members will recall that in December last year the Government announced that they were planning to close half the jobcentres in Glasgow. In January this year, they set out plans for further closures, amounting to the closure of more than one in 10 jobcentres across the UK. These closures have the potential for the loss of up to 750 jobs."" - Margaret Greenwood, Shadow Work and Pensions Minister
Watch the Urgent Question on the closure of Jobcentre Plus offices goo.gl/WTV2hd","video",12,4,16,2017-07-06,"14:20"
